,Astar Materyali,Ayakkabı Tabanı,Bağlama Şekli,Bilek Stili,Boy / Ölçü,Deri Kalitesi,Desen,Dış Materyal,Ek Özellik,Kalıp,Koleksiyon,Kullanım Alanı,Kumaş Teknolojisi,Kumaş Tipi,Materyal,Materyal Bileşeni,Okula Dönüş,Ortam,Persona,Renk,Saya Materyali,Spor Branşı,Spor Türü,Sürdürülebilir,Sürdürülebilirlik Detayı,Taban,Taban Materyali,Taban Teknolojisi,Taban Tipi,Topuk Boyu,Topuk Tipi,Zemin,Çeşit,Çivi Tipi,Özellik,İzolasyon,İç Taban Materyali,url,price
,,,Bağcıksız,,,,,,,,,,,,Süet,,,,,Siyah,,,,,,,Kauçuk,,,,,,,,,,,https://www.trendyol.com/slipcat/unisex-ici-yunlu-ev-pandufu-ev-botu-ev-ayakkabisi-p-343278563,"85,40 TL"
,Tekstil,,Bağcıklı,Normal Bilekli,,,,,,,,,,,Suni Deri,,,,,Siyah,,,,,,,Termoplastik,,,,,Çoklu Zemin,Amatör,Plastik,,,Tekstil,https://www.trendyol.com/jump/erkek-hali-saha-futbol-ayakkabisi-13258-p-5940243,"231,99 TL"
,,,,,,,,,,,,,,,,,,,,Siyah,,,,,,,,,,,,,,,,,,https://www.trendyol.com/big-king/siyah-hakiki-deri-desenli-erkek-klasik-ayakkabi-p-249315173,"429,90 TL"
,Tekstil,,,,,,,,,,,,,,,,,,,Siyah,,,,,,,,,,,,,,,,,,https://www.trendyol.com/muggo/m702-ortopedik-gunluk-erkek-ayakkabi-p-35818458,"149,99 TL"
,,,,,,,,,,,,,,,Tekstil,,,,,Siyah,,,,,,Kauçuk,Termoplastik,,,,,,,,,,,https://www.trendyol.com/fogs/unisex-panduf-ev-ici-ayakkabisi-yumusak-taban-p-51876278,"62,56 TL"
,,,,,,,,,,,,,,,Tekstil,,,,,Gri,,,,,,Kauçuk,,,,,,,,,,,,https://www.trendyol.com/stwenn/kadin-panduf-ev-botu-ev-ayakkabisi-kalin-hafif-taban-p-132348771,"112,22 TL"
,Tekstil,,Bağcıksız,,,Parça Mevcut Değil,Düz,,Ek Özellik Mevcut Değil,,Unisex,,,Kumaş,Tekstil,,,Casual&Comfort,,Gri,Tekstil,,,,Evet,Kauçuk,Poli,,,Kısa Topuklu (1- 4 cm),Düz Topuklu,,,,,,Tekstil,https://www.trendyol.com/moda-frato/stl-01-unisex-panduf-ev-ayakkabisi-p-68662269,"89,90 TL"
,,,Bağcıklı,,,,,,,,,Futbol,,,,,,,,Sarı,,Futbol,,,,,,,,,,,Amatör,,,,,https://www.trendyol.com/walked/corapli-krampon-futbol-ayakkabisi-p-176930502,193 TL
,,,,,,,,,,,,,,,Peluş,,,,,Gri,,,,,,Kauçuk,,,,,,,,,,,,https://www.trendyol.com/pnr-terlik/konfor-sevimli-kopek-figurlu-erkek-hayvanli-panduf-p-212401854,"109,90 TL"
• Silerek temizleyebilirsiniz • Detaylı bakım talimatları için lütfen ürün etiketini kontrol ediniz.,Suni Deri,,Bağcıklı,,,,Düz,,Ortopedik Taban,,,Spor,,Örme,Suni Deri,"62% Poliüretan, 35% Viskoz, 3% Elastan",,Casual&Comfort,,Beyaz,,,,,,,,Phylon/Termo (Kaydırmaz) Taban,Düz Taban,Kısa Topuklu (1- 4 cm),Düz Topuklu,,,,,,,https://www.trendyol.com/tonny-black/unisex-beyaz-spor-ayakkabi-tb107-p-6044876,"207,28 TL"
,,,,,,,,,,,,Spor,,,,,,,,Beyaz,,,,,,,,,,,,,,,,,,https://www.trendyol.com/butikromano/unisex-gunluk-spor-ayakkabi-nw8996-p-339300928,2.244 TL
,,,Bağcıklı,,,,,,Ortopedik Taban,,,Spor,,,,,,,,Beyaz,,,,,,,,,,,,,,,,,,https://www.trendyol.com/oz-taha/beyaz-unisex-spor-ayakkabi-p-42132049,"101,99 TL"
,,,Bağcıklı,,,,,,Ortopedik Taban,,,Spor,,,,,,,,Siyah,,,,,,,,,,,,,,,,,,https://www.trendyol.com/oz-taha/erkek-siyah-bagcikli-sneakers-p-101035910,136 TL
,,,Bağcıklı,,,,,,Ortopedik Taban,,,Spor,,,,,,,,Siyah,,,,,,,,,,,,,,,,,,https://www.trendyol.com/oz-taha/erkek-siyah-bagcikli-sneakers-p-101035817,132 TL
,,,,,,,,,,,,,,,,,,,,Siyah,,,,,,,,,,,,,,,,,,https://www.trendyol.com/big-king/siyah-beyaz-spor-ayakkabi-p-252314872,"269,90 TL"
,,,Bağcıklı,,,,,Mikrofiber,,,,Outdoor,,,Suni Deri,,,,,Beyaz,,,,,,,,Poliüretan Taban,Düz Taban,Kısa Topuklu (1- 4 cm),Düz Topuklu,,,,,,,https://www.trendyol.com/xstreet/air-101-unisex-spor-ayakkabi-sneakers-p-263723085,"109,90 TL"
,Tekstil,,Bağcıklı,Normal Bilekli,,,,,,,,,,,Suni Deri,,,,,Beyaz,,,,,,,Termoplastik,,,,,Çoklu Zemin,Amatör,Plastik,,,Tekstil,https://www.trendyol.com/jump/erkek-hali-saha-ayakkabisi-13258-beyaz-white-10s0413258-p-5940244,"224,51 TL"
,,,Fermuarlı,,Kısa,,,Suni Deri,,,,Günlük,,,Polar,,,,,Siyah,,,,,,Kauçuk,,,,Kısa Topuklu (1- 4 cm),,,,,,,,https://www.trendyol.com/freemax/su-gecirmez-kurklu-kislik-fermuarli-bot-kaucuk-taban-saglam-outdoor-garantili-urun-siyah-p-170576420,"399,91 TL"
,,,,,,,,,,,,,,,Tekstil,,,,,Siyah,,,,,,,,,,,,,,,,,,https://www.trendyol.com/ucc/unisex-siyah-ici-yunlu-kislik-panduf-p-169136683,"55,64 TL"
,,,,,,,,,,,,,,,Tekstil,,,,,Pembe,,,,,,Kauçuk,,,,,,,,,,,,https://www.trendyol.com/stwenn/kadin-panduf-ev-botu-ev-ayakkabisi-kalin-hafif-taban-p-132405475,"112,22 TL"
,Tekstil,,Bağcıksız,,,Parça Mevcut Değil,Düz,,Ek Özellik Mevcut Değil,,Unisex,,,Kumaş,Tekstil,,,Casual&Comfort,,Siyah,Tekstil,,,,Evet,Kauçuk,Poli,,,Kısa Topuklu (1- 4 cm),Düz Topuklu,,,,,,Tekstil,https://www.trendyol.com/moda-frato/stl-01-unisex-panduf-ev-ayakkabisi-p-68662308,"89,90 TL"
,,,,,,,,,,,,,,,Tekstil,,,,,Kahverengi,,,,,,Kauçuk,,,,,,,,,,,,https://www.trendyol.com/stwenn/kadin-panduf-kalin-hafif-taban-p-132277540,"112,22 TL"
,Tekstil,,Bağcıklı,,,,,,,,,Futbol,,,,,,,,Siyah,Suni Deri,Futbol,,,,,PVC,,,,,,Amatör,,,,Tekstil,https://www.trendyol.com/walked/erkek-krampon-futbol-ayakkabisi-mds-siyah-altin-p-350532773,182 TL
,,,Bantlı,,,,,,,,,,,,,,,,,Siyah,,,,,,,,,,,,,,,Gore-Tex,,,https://www.trendyol.com/nstil/unisex-kar-botu-siyah-kaymaz-taban-kurklu-p-79358878,"269,92 TL"
,Suni Deri,,Bağcıksız,,Orta,,,Suni Deri,,Bol,,Günlük,Suya Dayanıklı,,Suni Deri,,,,,Siyah,,,,,,Tekstil,,,,Kısa Topuklu (1- 4 cm),İnce Topuklu,,,,,,Suni Deri,https://www.trendyol.com/zegeshoes/chelsea-erkek-kislik-bot-mat-siyah-ortopedik-taban-hediyeli-p-68988416,"137,72 TL"
,,,Bağcıksız,,Kısa,,,Mikrofiber,,Normal,,Günlük,Soğuk Havaya Dayanıklı,,Süet,,,,,Siyah,,,,,,,PVC,,,Kısa Topuklu (1- 4 cm),,,,,,,,https://www.trendyol.com/freemax/unisex-ortopedik-ic-tabanlik-hediye-chelsea-bot-garantili-siyah-p-147526989,"149,95 TL"
,,,Bağcıksız,,,,,,,,,,,,Süet,,,,,Pembe,,,,,,,Kauçuk,,,,,,,,,,,https://www.trendyol.com/slipcat/unisex-ici-yunlu-ev-pandufu-ev-botu-ev-ayakkabisi-p-343219764,"64,90 TL"
• Silerek temizleyebilirsiniz • Detaylı bakım talimatları için lütfen ürün etiketini kontrol ediniz.,,,Bağcıklı,,,,Düz,,,,,,,,Suni Deri,100% Materyal bilgisi için iç etiketi kontrol ediniz.,,Casual&Comfort,,Gri,,,,,,,,,,Kısa Topuklu (1- 4 cm),Düz Topuklu,,,,,,,https://www.trendyol.com/tonny-black/unisex-fume-kaymaz-eva-taban-suet-sneaker-p-339403942,"235,97 TL"
,,,Bağcıksız,,,,,,,,,,,,Süet,,,,,Gri,,,,,,,Kauçuk,,,,,,,,,,,https://www.trendyol.com/slipcat/unisex-ici-yunlu-ev-pandufu-ev-botu-ev-ayakkabisi-p-343216615,"69,99 TL"
,Tekstil,,Fermuarlı,,,,,Mikrofiber,Su Geçirmez,Normal,,Outdoor,Su Geçirmez,,Su Geçirmez,,,,,Siyah,,,,,,,,,,,,,,,,,Tekstil,https://www.trendyol.com/fast-step/su-gecirmez-siyah-erkek-outdoor-bot-117sma1241-p-223035075,"624,77 TL"
,Suni Deri,,Bağcıksız,,Orta,,,Suni Deri,,Bol,,Günlük,Suya Dayanıklı,,Suni Deri,,,,,Siyah,,,,,,Tekstil,,,,Kısa Topuklu (1- 4 cm),İnce Topuklu,,,,,,Suni Deri,https://www.trendyol.com/zegeshoes/chelsea-erkek-kislik-bot-mat-siyah-ortopedik-taban-hediyeli-p-159079015,"137,72 TL"
,Tekstil,,Bağcıksız,,Kısa,İmitasyon Deri,Düz,Suni Deri,Su Geçirmez,Bol,Lisanslı,Günlük,Soğuk Havaya Dayanıklı,Kumaş,Suni Deri,,Üniversite,,Cool Comfort,Siyah,Suni Deri,,Dağcılık,,Evet,Kauçuk,PVC,,,Kısa Topuklu (1- 4 cm),Düz Topuklu,,,,,,Tekstil,https://www.trendyol.com/by-oxford/su-soguk-gecirmez-kurklu-garantili-unisex-kislik-fermuarli-bot-taban-saglam-p-336638416,279 TL
• Silerek temizleyebilirsiniz • Detaylı bakım talimatları için lütfen ürün etiketini kontrol ediniz.,Tekstil,,Bağcıklı,,,,Düz,Tekstil,Ek Özellik Mevcut Değil,,,Spor,,Örme,Tekstil,"62% Poliüretan, 35% Viskoz, 3% Elastan",Üniversite,Sportswear,Cool Comfort,Siyah,Tekstil,,,,,,,,Düz Taban,Kısa Topuklu (1- 4 cm),Düz Topuklu,,,,,,Tekstil,https://www.trendyol.com/hummel/porter-unisex-siyah-spor-ayakkabi-p-37336440,"439,95 TL"
,,,,,,,,,,,,,,,,,,,,Lacivert,,,,,,,,,,,,,,,,,,https://www.trendyol.com/kinetix/rain-erkek-spor-ayakkabi-100483548-p-294977351,"208,03 TL"
,,,Bağcıklı,,,,,Tekstil,,,,Spor,,,,,,,,Siyah,,,,,,,EVA,,,,,,,,,,,https://www.trendyol.com/adidas/showtheway-2-0-erkek-gunluk-spor-ayakkabi-gy6348-siyah-p-259992046,799 TL
,,,Bağcıklı,,,,,,,Normal,,,,,,,,,,Bej,,,,,,,,,,,,,,,,,,https://www.trendyol.com/big-king/col-postal-erkek-bot-p-151047173,"374,90 TL"
• Silerek temizleyebilirsiniz • Detaylı bakım talimatları için lütfen ürün etiketini kontrol ediniz.,Suni Deri,,Bağcıklı,,,,Düz,,Ortopedik Taban,,,Spor,,Örme,Suni Deri,"62% Poliüretan, 35% Viskoz, 3% Elastan",,Casual&Comfort,,Siyah,,,,,,,,Phylon/Termo (Kaydırmaz) Taban,Düz Taban,Kısa Topuklu (1- 4 cm),Düz Topuklu,,,,,,,https://www.trendyol.com/tonny-black/unisex-siyah-spor-ayakkabi-tb107-p-6044874,"219,06 TL"
,,,Bağcıklı,,,,,Mikrofiber,,,,Outdoor,,,Suni Deri,,,,,Siyah,,,,,,,,Poliüretan Taban,Düz Taban,Kısa Topuklu (1- 4 cm),Düz Topuklu,,,,,,,https://www.trendyol.com/xstreet/air-101-unisex-spor-ayakkabi-sneakers-p-263719090,"119,90 TL"
• Silerek temizleyebilirsiniz • Detaylı bakım talimatları için lütfen ürün etiketini kontrol ediniz.,Tekstil,,Bağcıklı,,,,Renk Bloklu,,,,,,,,,100% Materyal bilgisi için iç etiketi kontrol ediniz.,,Casual&Comfort,,Haki,Suni Deri,,,,,,Kauçuk,,,Kısa Topuklu (1- 4 cm),Dolgu Topuklu,,,,,,,https://www.trendyol.com/slazenger/haakon-erkek-outdoor-ayakkabi-haki-p-332217963,"629,90 TL"
