Unnamed: 0,Astar Materyali,Bağlama Şekli,Desen,Dış Materyal,Ek Özellik,Kullanım Alanı,Kumaş Tipi,Materyal,Materyal Bileşeni,Ortam,Persona,Renk,Saya Materyali,Taban Materyali,Taban Teknolojisi,Taban Tipi,Topuk Boyu,Topuk Tipi,İç Taban Materyali,url,price
,,Bağcıksız,,,,,,Süet,,,,Siyah,,Kauçuk,,,,,,https://www.trendyol.com/slipcat/unisex-ici-yunlu-ev-pandufu-ev-botu-ev-ayakkabisi-p-343278563,850 
,Tekstil,Bağcıklı,,,,,,Suni Deri,,,,Siyah,,Termoplastik,,,,,Tekstil,https://www.trendyol.com/jump/erkek-hali-saha-futbol-ayakkabisi-13258-p-5940243,2319 
,,,,,,,,,,,,Siyah,,,,,,,,https://www.trendyol.com/big-king/siyah-hakiki-deri-desenli-erkek-klasik-ayakkabi-p-249315173,4290 
,Tekstil,,,,,,,,,,,Siyah,,,,,,,,https://www.trendyol.com/muggo/m702-ortopedik-gunluk-erkek-ayakkabi-p-35818458,1499 
,,,,,,,,Tekstil,,,,Siyah,,Termoplastik,,,,,,https://www.trendyol.com/fogs/unisex-panduf-ev-ici-ayakkabisi-yumusak-taban-p-51876278,626 
,,,,,,,,Tekstil,,,,Gri,,,,,,,,https://www.trendyol.com/stwenn/kadin-panduf-ev-botu-ev-ayakkabisi-kalin-hafif-taban-p-132348771,1122 
,Tekstil,Bağcıksız,Düz,,Ek Özellik Mevcut Değil,,Kumaş,Tekstil,,Casual&Comfort,,Gri,Tekstil,Poli,,,Kısa Topuklu (1- 4 cm),Düz Topuklu,Tekstil,https://www.trendyol.com/moda-frato/stl-01-unisex-panduf-ev-ayakkabisi-p-68662269,890 
,,Bağcıklı,,,,Futbol,,,,,,Sarı,,,,,,,,https://www.trendyol.com/walked/corapli-krampon-futbol-ayakkabisi-p-176930502,193 
,,,,,,,,Peluş,,,,Gri,,,,,,,,https://www.trendyol.com/pnr-terlik/konfor-sevimli-kopek-figurlu-erkek-hayvanli-panduf-p-212401854,1090 
• Silerek temizleyebilirsiniz • Detaylı bakım talimatları için lütfen ürün etiketini kontrol ediniz.,Suni Deri,Bağcıklı,Düz,,Ortopedik Taban,Spor,Örme,Suni Deri,"62% Poliüretan, 35% Viskoz, 3% Elastan",Casual&Comfort,,Beyaz,,,Phylon/Termo (Kaydırmaz) Taban,Düz Taban,Kısa Topuklu (1- 4 cm),Düz Topuklu,,https://www.trendyol.com/tonny-black/unisex-beyaz-spor-ayakkabi-tb107-p-6044876,2078 
,,,,,,Spor,,,,,,Beyaz,,,,,,,,https://www.trendyol.com/butikromano/unisex-gunluk-spor-ayakkabi-nw8996-p-339300928,2244 
,,Bağcıklı,,,Ortopedik Taban,Spor,,,,,,Beyaz,,,,,,,,https://www.trendyol.com/oz-taha/beyaz-unisex-spor-ayakkabi-p-42132049,1019 
,,Bağcıklı,,,Ortopedik Taban,Spor,,,,,,Siyah,,,,,,,,https://www.trendyol.com/oz-taha/erkek-siyah-bagcikli-sneakers-p-101035910,136 
,,Bağcıklı,,,Ortopedik Taban,Spor,,,,,,Siyah,,,,,,,,https://www.trendyol.com/oz-taha/erkek-siyah-bagcikli-sneakers-p-101035817,132 
