Astar Materyali,Ayakkabi Tabani,Baglama Sekli,Bilek Stili,Boy / Olcu,Deri Kalitesi,Desen,Dis Materyal,Ek Ozellik,Kalip,Koleksiyon,Kullanim Alani,Kumas Tipi,Okula Donus,Renk,Saya Materyali,Spor Bransi,Spor Turu,Taban,Taban Materyali,Taban Tipi,Topuk Tipi,Zemin,Cesit,Civi Tipi,Izolasyon,Ic Taban Materyali,price
0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,850 
1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,1,1,0,1,2319 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4290 
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1499 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,626 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,1122 
1,0,2,0,0,1,1,0,2,0,1,0,3,0,3,1,0,0,2,1,0,1,0,0,0,0,1,890 
0,0,1,0,0,0,0,0,0,0,0,4,0,0,13,0,4,0,0,0,0,0,0,1,0,0,0,193 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,1090 
2,0,1,0,0,0,1,0,1,0,0,1,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,2078 
0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2244 
0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1019 
0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,136 
0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,132 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2690 
