Astar Materyali,Ayakkabi Tabani,Baglama Sekli,Bilek Stili,Boy / Olcu,Deri Kalitesi,Desen,Dis Materyal,Ek Ozellik,Kalip,Koleksiyon,Kullanim Alani,Kumas Tipi,Okula Donus,Renk,Saya Materyali,Spor Bransi,Spor Turu,Taban,Taban Materyali,Taban Tipi,Topuk Tipi,Zemin,Cesit,Civi Tipi,Izolasyon,Ic Taban Materyali,price
0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,"85,40 TL"
1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,1,1,0,1,"231,99 TL"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"429,90 TL"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"149,99 TL"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,"62,56 TL"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,"112,22 TL"
1,0,2,0,0,1,1,0,2,0,1,0,3,0,3,1,0,0,2,1,0,1,0,0,0,0,1,"89,90 TL"
0,0,1,0,0,0,0,0,0,0,0,4,0,0,13,0,4,0,0,0,0,0,0,1,0,0,0,193 TL
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,"109,90 TL"
2,0,1,0,0,0,1,0,1,0,0,1,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,"207,28 TL"
0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2.244 TL
0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"101,99 TL"
0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,136 TL
0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,132 TL
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"269,90 TL"
0,0,1,0,0,0,0,4,0,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,"109,90 TL"
1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,1,1,1,0,1,"224,51 TL"
0,0,3,0,1,0,0,2,0,0,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,"399,91 TL"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"55,64 TL"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,2,0,0,0,0,0,0,0,0,"112,22 TL"
1,0,2,0,0,1,1,0,2,0,1,0,3,0,1,1,0,0,2,1,0,1,0,0,0,0,1,"89,90 TL"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,"112,22 TL"
1,0,1,0,0,0,0,0,0,0,0,4,0,0,1,2,4,0,0,4,0,0,0,1,0,0,1,182 TL
0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"269,92 TL"
2,0,2,0,2,0,0,2,0,2,0,3,0,0,1,0,0,0,1,0,0,3,0,0,0,0,2,"137,72 TL"
0,0,2,0,1,0,0,4,0,1,0,3,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,"149,95 TL"
0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,2,0,0,0,0,0,0,0,"64,90 TL"
0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,"235,97 TL"
0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,"69,99 TL"
1,0,3,0,0,0,0,4,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"624,77 TL"
2,0,2,0,2,0,0,2,0,2,0,3,0,0,1,0,0,0,1,0,0,3,0,0,0,0,2,"137,72 TL"
